iter	Passed	Remaining
0	59	59006
1	123	61432
2	175	58245
3	239	59735
4	278	55475
5	321	53277
6	359	50945
7	398	49378
8	441	48608
9	481	47621
10	526	47365
11	577	47576
12	619	47064
13	668	47071
14	718	47160
15	766	47112
16	817	47275
17	871	47548
18	931	48099
19	982	48143
20	1035	48261
21	1093	48591
22	1144	48609
23	1198	48732
24	1252	48833
25	1301	48745
26	1353	48758
27	1404	48764
28	1469	49216
29	1518	49084
30	1569	49073
31	1640	49619
32	1695	49674
33	1756	49904
34	1812	49974
35	1861	49833
36	1908	49665
37	1963	49713
38	2025	49907
39	2081	49955
40	2136	49970
41	2191	49978
42	2242	49903
43	2292	49807
44	2350	49892
45	2404	49870
46	2459	49864
47	2511	49819
48	2576	50006
49	2629	49962
50	2695	50149
51	2754	50213
52	2815	50306
53	2872	50322
54	2943	50568
55	3000	50573
56	3058	50597
57	3111	50531
58	3216	51295
59	3316	51965
60	3373	51925
61	3454	52268
62	3515	52284
63	3576	52303
64	3639	52352
65	3704	52425
66	3761	52374
67	3820	52367
68	3875	52294
69	3939	52344
70	4005	52415
71	4061	52354
72	4123	52369
73	4188	52413
74	4255	52485
75	4319	52519
76	4386	52585
77	4455	52666
78	4505	52523
79	4543	52247
80	4590	52085
81	4645	52005
82	4694	51869
83	4738	51667
84	4778	51436
85	4835	51386
86	4891	51330
87	4946	51268
88	4996	51140
89	5055	51119
90	5121	51159
91	5186	51185
92	5251	51216
93	5311	51190
94	5367	51129
95	5417	51014
96	5471	50938
97	5538	50972
98	5604	51003
99	5665	50987
100	5727	50977
101	5777	50868
102	5842	50878
103	5906	50884
104	5962	50825
105	6004	50643
106	6058	50562
107	6116	50515
108	6181	50532
109	6254	50604
110	6310	50538
111	6375	50547
112	6427	50455
113	6490	50446
114	6546	50380
115	6596	50270
116	6659	50260
117	6729	50296
118	6798	50329
119	6870	50384
120	6955	50531
121	7012	50470
122	7066	50382
123	7106	50204
124	7161	50127
125	7210	50014
126	7261	49918
127	7324	49895
128	7387	49882
129	7446	49836
130	7503	49773
131	7563	49733
132	7604	49571
133	7646	49416
134	7695	49307
135	7741	49179
136	7807	49184
137	7859	49090
138	7898	48923
139	7943	48795
140	7997	48721
141	8051	48650
142	8105	48579
143	8155	48478
144	8193	48310
145	8232	48152
146	8283	48065
147	8335	47987
148	8385	47893
149	8433	47791
150	8491	47744
151	8552	47713
152	8590	47557
153	8632	47425
154	8677	47306
155	8780	47502
156	8839	47463
157	8880	47323
158	8926	47214
159	8975	47120
160	9016	46987
161	9064	46889
162	9105	46754
163	9144	46616
164	9190	46509
165	9238	46415
166	9295	46364
167	9338	46245
168	9380	46125
169	9434	46061
170	9482	45970
171	9533	45892
172	9583	45812
173	9632	45728
174	9675	45612
175	9716	45489
176	9755	45358
177	9808	45297
178	9860	45226
179	9919	45189
180	9966	45098
181	10014	45011
182	10058	44906
183	10111	44843
184	10156	44745
185	10217	44713
186	10269	44649
187	10330	44616
188	10371	44506
189	10407	44368
190	10446	44245
191	10495	44169
192	10553	44126
193	10613	44096
194	10676	44075
195	10747	44085
196	10806	44047
197	10851	43953
198	10905	43896
199	10954	43818
200	10994	43704
201	11038	43609
202	11094	43556
203	11148	43502
204	11209	43472
205	11274	43457
206	11342	43450
207	11404	43423
208	11472	43418
209	11532	43384
210	11591	43343
211	11639	43262
212	11692	43201
213	11749	43155
214	11812	43130
215	11871	43090
216	11927	43039
217	11985	42995
218	12048	42965
219	12096	42887
220	12156	42850
221	12206	42776
222	12250	42684
223	12294	42592
224	12382	42650
225	12439	42603
226	12489	42531
227	12534	42439
228	12593	42400
229	12648	42345
230	12691	42251
231	12734	42156
232	12774	42053
233	12817	41957
234	12866	41885
235	12922	41834
236	12963	41735
237	13006	41641
238	13057	41575
239	13117	41539
240	13160	41448
241	13204	41358
242	13246	41264
243	13289	41176
244	13331	41081
245	13371	40983
246	13417	40903
247	13471	40848
248	13517	40768
249	13558	40675
250	13602	40589
251	13645	40503
252	13688	40417
253	13735	40342
254	13785	40275
255	13845	40239
256	13893	40166
257	13946	40109
258	13998	40050
259	14049	39988
260	14094	39908
261	14141	39834
262	14205	39808
263	14289	39838
264	14347	39794
265	14412	39770
266	14478	39746
267	14539	39712
268	14603	39683
269	14670	39665
270	14730	39624
271	14790	39585
272	14858	39568
273	14932	39565
274	15000	39546
275	15069	39530
276	15124	39477
277	15185	39438
278	15256	39426
279	15325	39409
280	15392	39384
281	15462	39369
282	15524	39332
283	15577	39271
284	15634	39223
285	15696	39187
286	15753	39135
287	15817	39103
288	15862	39024
289	15917	38969
290	15973	38919
291	16029	38865
292	16091	38829
293	16158	38803
294	16208	38734
295	16266	38688
296	16331	38656
297	16392	38616
298	16456	38581
299	16522	38552
300	16589	38525
301	16650	38483
302	16710	38440
303	16761	38375
304	16807	38300
305	16858	38234
306	16911	38174
307	16967	38121
308	17030	38083
309	17098	38058
310	17147	37990
311	17213	37957
312	17283	37935
313	17340	37883
314	17399	37836
315	17475	37825
316	17539	37789
317	17618	37785
318	17689	37764
319	17766	37753
320	17918	37902
321	17992	37885
322	18056	37845
323	18116	37798
324	18177	37753
325	18244	37720
326	18309	37683
327	18372	37641
328	18434	37597
329	18493	37547
330	18557	37506
331	18611	37446
332	18669	37395
333	18726	37341
334	18789	37299
335	18853	37258
336	18907	37198
337	18949	37114
338	18996	37039
339	19047	36975
340	19108	36927
341	19165	36874
342	19224	36824
343	19276	36759
344	19320	36680
345	19373	36619
346	19424	36553
347	19485	36507
348	19539	36447
349	19593	36388
350	19639	36314
351	19698	36262
352	19737	36175
353	19775	36087
354	19817	36007
355	19864	35935
356	19913	35867
357	19967	35807
358	20025	35755
359	20081	35699
360	20135	35640
361	20193	35589
362	20251	35538
363	20303	35475
364	20359	35419
365	20423	35378
366	20488	35338
367	20546	35286
368	20604	35235
369	20654	35167
370	20693	35084
371	20735	35004
372	20784	34938
373	20837	34878
374	20885	34808
375	20934	34742
376	20981	34671
377	21036	34615
378	21085	34548
379	21128	34473
380	21169	34393
381	21209	34312
382	21256	34242
383	21317	34197
384	21370	34138
385	21414	34063
386	21472	34011
387	21517	33940
388	21562	33868
389	21618	33813
390	21689	33782
391	21750	33736
392	21804	33677
393	21843	33597
394	21883	33518
395	21920	33434
396	21959	33354
397	22000	33277
398	22053	33218
399	22119	33178
400	22182	33135
401	22248	33096
402	22316	33059
403	22383	33021
